IngredientName,CASNumber
"Distillates, petroleum, hydrotreated light",64742-47-8
Potassium hydroxide,1310-58-3
Aluminum Oxide,1344-28-1
Listed Below,Listed Below
1-(Benzyl)quinolinium chloride,15619-48-4
Water,7732-18-5
Sodium Glycolate (impurity),2836-32-0
Listed Below,Listed Below
Naphta,64742-94-5
Water,7732-18-5
Sodium acetate,126-96-5
"2,2-Dibromo-3-nitrilopropionamide",10222-01-2
Water,7732-18-5
Methanol,67-56-1
Guar Gum,9000-30-0
"Silica Quartz, SiO2",14808-60-7
organic phosphonic acids salts,15827-60-8
Methanol,67-56-1
Ethylene Glycol,107-21-1
"Fatty acids, tall oil",Proprietary
Alkyl phosphonic acid,Proprietary
"9-Octadecenamide, n,n-bis-2(hydroxy-ethyl)-,(Z)",93-83-4
Dibromoacetonitrile,3252-43-5
Isopropyl Alcohol,67-63-0
didecyldimethylammonium chloride,7173-51-5
Listed Below,Listed Below
Listed Below,Listed Below
"Hypochlorous Acid, Sodium Salt (1:1)",7681-52-9
Water,7732-18-5
Listed Below,Listed Below
"Reaction product of: acetophenone, formaldehyde, cyclohexylamine, methanol and acetic acid",224635-63-6
MSDS and Non-MSDS Ingredients are listed below the green line.,Listed Below
Ethylene glycol,107-21-1
 ,Listed Below
Methyl Alcohol,67-56-1
Patented Synthetic Caustic,Not Assigned
"Glycerides, C14-18 Mono- And Di-",67701-33-1
poly(tetrafluoroethylene),9002-84-0
"Amines, tallow alkyl, ethoxylated",61791-26-2
Crystalline Silica,14808-60-7
Tetrasodium ethylenediaminetetraacetate,1964-02-08
Magnesium silicate hydrate (talc),14807-96-6
Polyoxyalkylene glycol butyl ether,9004-77-7
Phenol-formaldehyde Novolak Resin,9003-35-4
"Nitrilotriacetate, trisodium salt (NTA)",5064-31-3
Hydroxyacetic acid,79-14-1
Alcohol Ethoxylate Surfactants,Proprietary
Glutaraldehyde,111-30-8
Water,7732-18-5
Inorganic Borates,Proprietary
"Fatty Acids, tall oil",61790-12-3
Polyamine Polyethers - TS,Proprietary
Water,7732-18-5
Methanol,67-56-1
Listed Below Green Line,Listed Below
"2,2-Dibromo-3-nitrilopropionamide",10222-01-2
"Tar bases, quinoline derivs., benzyl chloride-quaternized",72480-70-7
Listed Below,Listed Below
Oxylated phenolic resin,Proprietary
1-OCTANOL,111-87-5
Listed Below,Listed Below
Potassium salt of diethylene triamine penta (methylene phosphonic acid),15827-60-8
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",127087-87-0
Water,7732-18-5
Proprietary,Proprietary
Inorganic Borates,Proprietary
Methanol,67-56-1
Amide,Proprietary
Non-crystalline silica (impurity),7631-86-9
Ethylene Glycol,107-21-1
Formaldehyde,50-00-0
Listed Below,Listed Below
isoproyl alcohol,67-63-0
Water (Including Mix Water Supplied by Client)*,7732-18-5
Ammonium chloride ((NH4)CI),12125-02-9
"Quartz, Crystalline silica",14808-60-7
Sodium Tetraborate Decahydrate,1303-96-4
Water,7732-18-5
"Raffinates, Sorption Process",64741-85-1
"Silica, amorphous - fumed",7631-86-9
Surfactant blend,Proprietary
Listed Below,Listed Below
Sodium chloride,7647-14-5
Quaternary amine,Proprietary
Mannanase Enzymes,37288-54-3
Acrylic Copolymer,Proprietary
"Ulexite, calcined",92908-33-3
Ethylene Glycol,107-21-1
Talc,14807-96-6
Ethanol,64-17-5
Copolymer of Acrylamide and Sodium Acrylate,25987-30-8
"Acrylamide P/W acrylic acid, ammonium salt",Proprietary
Sodium Acetate CP Anhydrous,127-09-3
Non-MSDS Components Not Provided by Supplier,Not Assigned
Water,7732-18-5
Water,7732-18-5
Listed Below,Listed Below
Ethylene glycol,107-21-1
"Quarternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides",68424-85-1
"Isotridecanol, ethoxylated",9043-30-5
Sodium Hydroxide,1310-73-2
"Castor oil, ethoxylated",61791-12-6
Hydrotreated Petroleum Distillate,64742-47-8
Polymer of fatty acid,Proprietary
Impurities,Proprietary
Amine salts,Proprietary
Hydrochloric acid,7647-01-0
Alkyl Phosphonic Acid,Trade Secret
 ,Listed Below
Diutan gum,125005-87-0
Hydrotreated light petroleum distillate,64742-47-8
Sodium perborate tetrahydrate,10486-00-7
Borate Salt,1303-96-4
1-(Benzyl)quinolinium chloride,15619-48-4
Ammonium Persulfate,7727-54-0
Boric acid,10043-35-3
Citric Acid,77-92-9
Water,7732-18-5
Formic acid,64-18-6
Sodium Hydroxide,1310-73-2
Acrylamide,000079-06-1
Cured acrylic resin,Proprietary
Tridecyl Alcohol Ethoxylate,78330-21-9
Sorbitan stearate,1338-41-6
Phosphinocarboxylic Acid,110224-99-2
Diethylene glycol,111-46-6
Propylene Carbonate,108-32-7
Water,7732-18-5
"Fatty Acids, tall oil",61790-12-3
"Citrus, extract",94266-47-4
Amorphous Silica,7631-86-9
Sodium hydroxide,1310-73-2
Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8
 ,Listed Below
Glutaraldehyde,111-30-8
"DISTILLATE, PETROLEUM, HYDROTREATED LIGHT",64742-47-8
"Poly(oxy-1,2-ethanediyl), alpha hexyl-omega-hydroxy",31726-34-8
"N-Cocoamidopropyl-N,N-dimethyl-N-2-hydroxypropylsulfobetainE ",68139-30-0
Cinnamaldehyde,104-55-2
 ,Listed Below
Listed Below Green Line,Listed Below
"Thiourea, polymer with formaldehyde and 1-phenylethanone",68527-49-1
2-[2-(2-Butoxyethoxy)ethoxy]ethanol,143-22-6
Ethylene glycol,107-21-1
Water,7732-18-5
Organophilic Clay,Proprietary
Sodium bromate,7789-38-0
Sodium Chloride,007647-14-5
"Reaction product of: acetophenone, formaldehyde, cyclohexylamine, methanol and acetic acid",224635-63-6
Hydrochloric acid,7647-01-0
Water -  TS,7732-18-5
Bentonite Clay,Proprietary
Petroleum Distillate,64742-47-8
Proprietary Clay,Trade Secret
"Poly-(oxy-1,2-ethanediyl)-alpha-undecyl-omega",34398-01-1
No Hazardous Components,Not Assigned
Listed Below,Listed Below
Amine salts,Proprietary
Vinylidene chloride/methylacrylate copolymer,25038-72-6
Water,7732-18-5
Organophylic Clay,Proprietary
"dipropylene gylcol, monomethyl ether",34590-94-8
Hydroxyalkylammonium chloride,Proprietary
Water,7732-18-5
Modified bentonite clay,68911-87-5
Bentonite Clay,Proprietary
ALCOHOL ETHOXYLATE,Proprietary
"Tar bases, quinoline derivs., benzyl chloride-quaternized",72480-70-7
ALCOHOL ETHOXYLATE,Proprietary
Listed Below,Listed Below
Proprietary Alkylene Oxide Block Polymer,Trade Secret
Listed Below,Listed Below
HEAVY AROMATIC PETROLEUM NAPHTHA,64742-94-5
Listed Below,Listed Below
Inorganic Salt,Proprietary
Alkyl (C12-16) dimethylbenzylammonium chloride,68424-85-1
Ethoxylated nonylphenol,Proprietary
Mineral oil,8042-47-5
Polylactide resin,Proprietary
Crystalline Silica,14808-60-7
"alcohols, c7-9-0so, c8-rich",68526-83-0
WATER,7732-18-5
Petroleum distillate hydrotreated light,64742-47-8
Benzylheteropolycicle salt,Proprietary
Sodium Chloride,7647-14-5
Copolymer,Proprietary
"Petroleum Distillate, hydrotreated heavy paraffinic",64742-54-7
Cured acrylic resin,Proprietary
Sodium perborate tetrahydrate,10486-00-7
Sodium chloride,7647-14-5
Trade Secret,Proprietary
Water,7732-18-5
Diammonium Peroxodisulphate,7727-54-0
Sodium iodide,7681-82-5
Listed Below,Listed Below
Aromatic aldehyde,Proprietary
Oxyalkylate,Proprietary
Petroleum Distillate,64742-47-8
Glutaraldehyde,111-30-8
Water,7732-18-5
Surfactant Blend,Proprietary
Ethylene oxide/Propylene oxide copolymer,9003-11-06
Sodium Glycolate (impurity),2836-32-0
Water,7732-18-5
Listed Below,Listed Below
Dimethyl siloxanes and silicones,63148-62-9
C14 alpha olefin ethoxylate,84133-50-6
"Alcohols, C12-C14, ethoxylated",68439-50-9
Listed Below,Listed Below
"quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides",68424-85-1
WATER,7732-18-5
"Acrylamide, Monomer",1979-06-01
Sodium sulfocyanate,540-72-7
Polydimethyl diallyl ammonium chloride,26062-79-3
MSDS and Non-MSDS components listed below,Listed Below
"2,2-dibromo-3-nitrilopropionamide",10222-01-2
MSDS and Non-MSDS components listed below,Listed Below
Water,7732-18-5
Water,7732-18-5
Magnesium Chloride,7786-30-3
Aminophosphonate Salt,Proprietary
didecyldimethylammonium chloride,7173-51-5
MSDS and Non-MSDS components listed below,Listed Below
Ethylene glycol,107-21-1
Hexamethylene Triamine Penta (Methylene Phosphonic Acid),34690-00-1
Sodium chloride,7647-14-5
Listed Below,Listed Below
"Paraffinic, Naphtehenic Solvent",64742-47-8
Isoquinoline,Proprietary
Glutaraldehyde,111-30-8
Sodium hydroxide,1310-73-2
Organic salt,Proprietary
Listed Below,Listed Below
Sodium Chlorite,7758-19-2
2-Butoxyethanol,111-76-2
"Acetic acid, potassium salt",127-08-2
MSDS and Non-MSDS Ingredients are listed below the green line.,Listed Below
Sodium Persulfate,7775-27-1
Methanol,67-56-1
Water - TS,7732-18-5
Ethoxylated fatty acids,Proprietary
Methanol,67-56-1
Listed Below,Listed Below
Listed Below,Listed Below
Acrylamide acrylate copolymer,Proprietary
Proprietary Friction Reducer Additive (FRW-600),Trade Secret
Tetrasodium ethylenediaminetetraacetate,1964-02-08
MSDS and Non-MSDS Ingredients are listed below the green line.,Listed Below
Hydrotreated light petroleum distillate,64742-47-8
Hydrochloric Acid,7647-01-0
Listed Below,Listed Below
"Chlorous acid, sodium salt",7758-19-2
"Phosphonate of a Diamine, Sodium Salt",Proprietary
Potassium hydroxide,1310-58-3
Phosphoric acid,7664-38-2
Polydimethyl siloxane,63148-62-9
"Alcohols, ethoxylated",68002-97-1
Sodium Chloride,7647-14-5
Naphthalene,91-20-3
Sodium sulfate,7757-82-6
Sodium chloride,7647-14-5
magnesium,16389-88-1
Ethanol,64-17-5
MSDS and Non-MSDS components listed below,Listed Below
Coconut diethanolamide,68603-42-9
ORGANIC POLYOL,Proprietary
Copolymer of acrylamide and sodium acrylate,25987-30-8
Hydrochloric acid,7647-01-0
Polyoxyalkylene glycol butyl ether,9004-77-7
"Ethanol, 2,2',2''-nitrilotris-, sulfate",7376-31-0
2-Butoxyethanol,111-76-2
 ,Listed Below
Ammonium Persulfate,7727-54-0
Phenol-formaldehyde Novolak Resin,9003-35-4
Petroleum Distillates Blend,Proprietary
Proprietary,Proprietary
Polymer,Proprietary
"Alcohols, C-14-15 ethoxylated",68951-67-7
Formaldehyde (impurity),50-00-0
"Chlorous acid, sodium salt",7758-19-2
Guar Gum,009000-30-0
Organic phosphonic acids salts,Trade Secret
"Silica, Quartz",14808-60-7
Methyl Alcohol,67-56-1
Listed Below,Listed Below
Listed Below,Listed Below
Water,7732-18-5
Crystalline silica quartz,14808-60-7
Isopropanol,67-63-0
Propylene oxide,75-56-9
Stannous Chloride Dihydrate,7772-99-8
METHANOL,67-56-1
Ethylene Glycol,107-21-1
Listed Below,Listed Below
Water,7732-18-5
Ethoxylated fatty acid,Proprietary
Water (Including Mix Water Supplied by Client)*,7732-18-5
Ethylene glycol,107-21-1
Water,7732-18-5
POLYACRYLAMIDE-CO-ACRYLIC ACID,9003-06-09
Ammonium acetate,631-61-8
"1,2,4 Trimethylbenzene",95-63-6
Listed Below Green Line,Listed Below
Isopropanol,67-63-0
Ethylene glycol,107-21-1
Ammonium Persulfate,7727-54-0
Fatty alcohols ethoxylated,Proprietary
Propylene Carbonate,108-32-7
Stannous Chloride Dihydrate,7772-99-8
"Alcohols, C11-14-iso, C13-rich, ethoxylated",78330-21-9
Benzyl-(C12-C16 Alkyl)-Dimethyl-Ammonium Chloride,68424-85-1
Sodium chloride,7647-14-5
Trisodium Nitrilotriacetic acid,5064-31-3
Water,7732-18-5
Water,7732-18-5
Xylene,1330-20-7
ethylen glycol,107-21-1
Sodium Hypochlorite,007681-52-9
Listed Below,Listed Below
Ethoxylated alcohols,Proprietary
Water,7732-18-5
Choline Chloride,67-48-1
Hydrotreated light petroleum distillate,64742-47-8
Listed Below,Listed Below
Ethoxylated Sorbitan Monooleate,9005-65-6
N.N-Dimethylformamide,1968-12-02
Listed Below,Listed Below
fatty imidazoline,61790-69-0
Petroleum Distallate Hydrotreated Light,064742-47-8
ETHANOL,64-17-5
Polyalkylene glycol,Proprietary
Water,7732-18-5
Proprietary / Trade Secret,Proprietary
Fumaric acid,110-17-8
"n-Alkyl (80%C14, 40%C12, 10%C16) dimethyl benzyl ammonium chloride (32% active)",68424-85-1
"2-Propenoic acid, ammonium salt",10604-69-0
Citric acid,77-92-9
 ,Listed Below
Quaternary amine,Proprietary
Hydrotreated heavy paraffinic,64742-54-7
Water,7732-18-5
Formaldehyde,0000050-00-0
Amine Phosphonate 1,Proprietary
Methanol,67-56-1
Water,007732-18-5
Diammonium Peroxodisulphate,7727-54-0
Diammonium Peroxodisulphate,7727-54-0
Listed Below,Listed Below
Water,7732-18-5
Listed Below,Listed Below
Listed Below,Listed Below
Methanol,67-56-1
Crystalline Silica in the form of Quartz,14808-60-7
Silica Substrate,Not Assigned
"Phosphoric acid, dodecyl ester, potassium salt",39322-78-6
Sodium erythorbate,6381-77-7
"Tar bases, quinoline derivs., benzyl chloride-quaternized",72480-70-7
"DISTILLATES, HYDROTREATED LIGHT",64742-47-8
"Alcohols (C10-16), Ethoxylated",68002-97-1
Potassium hydroxide,1310-58-3
Alcohol Ethoxylate Surfactants,Proprietary
Ethoxylated Sorbitan Monooleate,9005-65-6
36% Hydrochloric Acid,7647-01-0
Fatty nitrogen derived amides,Proprietary
"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl chlorides",68424-85-1
Polysaccharide,Proprietary
Fatty Alcohol Ethoxylate,Proprietary
"Alcohols, C10-16, ethoxylated propoxylated",69227-22-1
Alcohol,68609-68-7
Ethoxylated alcohols,Proprietary
"Petroleum Distillates, Hydrotreated Light",64742-47-8
Listed Below,Listed Below
"1,3-Dioxolane-4-methanol, 2,2-dimethyl-",100-79-8
Acetic Acid,64-19-7
 ,Listed Below
Dodecylbenzenesulfonic acid,27176-87-0
Hydroxyalkylammonium chloride,Proprietary
Ethoxylated alcohols,Proprietary
"Alcohols, c11-15-secondary, ethoxylated",68131-40-8
Diatomaceous earth. calcined,91053-39-3
Tetrasodium ethylenediaminetetraacetate,1964-02-08
Inorganic Borates,Proprietary
Water,7732-18-5
Methanol,67-56-1
Listed Below,Listed Below
Dodecamethylcyclohexasiloxane,540-97-6
"Alcohols, C12-16, Ethoxylated",68551-12-2
Alkyl (C12-16),68424-85-1
Isopropanol,67-63-0
Listed Below,Listed Below
Petroleum Distillate Blend (2),64742-55-8
Diutan gum,125005-87-0
Proprietary,Proprietary
Iminodiacetate disodium salt,17593-73-6
benzyl-(C12-C16 alkyl)-dimethyl-ammonium chloride,68424-85-1
Stabilized Aqueous Chlorine Dioxide,10049-04-4
Anionic Polymer,00000-00-0
Hydrochloric acid,7647-01-0
Citric acid,77-92-9
Disodium Ethylene Diamine Tetra Acetate (impurity),139-33-3
"Fatty acids, tall oil",Proprietary
Listed Below,Listed Below
Sodium persulfate,7775-27-1
Water,7732-18-5
Tetrakis (hydroxymethyl) phosphonium sulfate,55566-30-8
Isopropanol,67-63-0
Water,7732-18-5
Water,7732-18-5
Water,7732-18-5
Guar Gum,9000-30-0
"Isotridecanol, ethoxylated",9043-30-5
 ,Listed Below
Cupric Chloride,10125-13-0
Organic acid salts,Proprietary
Amine,Proprietary
"Quartz, Crystalline silica",14808-60-7
Copolymer of Maleic and Acrylic Acid,52255-49-9
"Poly-(oxy-1,2-ethanediyl)-alpha-undecyl-omega",34398-01-1
"Alcohols, C10-14, ethoxylated",66455-15-0
Hydrotreated Light Distillate,64742-47-8
Alkyl dimethyl benzyl ammonium chloride,68424-85-1
Methanol,67-56-1
ALCOHOL ETHOXYLATE,Proprietary
MSDS and Non-MSDS components listed below,Listed Below
Poly (oxyethylene(dimethyliminio)ethylene(dimethyliminio)ethylenedichloride),31512-74-0
Propargyl alcohol,107-19-7
Isodecanol w/6-7 Moles Ethylene Oxide,26183-52-8
Listed Below,Listed Below
Listed Below,Listed Below
Ethanol,64-17-5
Acrylamide/ammonium acrylate copolymer,26100-47-0
Petroleum Distillate,64742-47-8
Methanol,67-56-1
Alkoxylated fatty amine,Proprietary
Sodium carboxymethyl cellulose,9004-32-4
Ethylene Glycol,107-21-1
Hexamethylene tramine penta (methylene phosphonic acid) ,34690-00-1
"Isotridecanol, ethoxylated",9043-30-5
Listed Below,Listed Below
thiourea-formaldehyde copolymer,68527-49-1
Methanol,67-56-1
Sodium erythorbate,6381-77-7
Diethanolamide,111-42-2
Xylene,1330-20-7
"Alcohol, C9-C11, Ethoxylated",68439-46-3
Guar Gum,9000-30-0
Suspending Agent,1302-78-9
"N,N'-ethylenedi(stearamide)",110-30-5
 ,Listed Below
Polyacrylamide-co-acrylic acid,9003-06-09
Sodium sulfate,7757-82-6
Potassium metaborate,10555-76-7
BHMT Phosphonate,Proprietary
5-Chloro-2-Methyl-3(2H)-Isothiazolone,26172-55-4
 ,Listed Below
Nonyl Phenol Ethoxylate,127087-87-0
Sodium nitrite,7632-00-0
Water,7732-18-5
Alcohol Ethoxylate Surfactants,Proprietary
MSDS and Non-MSDS components listed below,Listed Below
Water,7732-18-5
Trade Secret,Proprietary
Listed Below,Listed Below
QUATERNARY AMMONIUM SALT,Proprietary
Alkyl benzene sulfonate,Proprietary
Disodium Ethylene Diamine Tetra Acetate (impurity),139-33-3
MSDS and Non-MSDS components listed below,Listed Below
Surfactant,68439-51-0
Silicon Dioxide,14808-60-7
Borate Salts,1319-33-1
Isopropyl Alcohol,67-63-0
Water,7732-18-5
"Alcohols, C12-C14, ethoxylated",68439-50-9
Propylene Glycol,57-55-6
MSDS and Non-MSDS components listed below,Listed Below
Inorganic salt,Proprietary
Crystalline Silica Quartz,14808-60-7
Ethanol,64-17-5
Water,7732-18-5
Didecyl dimethyl ammonium chloride,7173-51-5
Water,7732-18-5
"Crystalline silica, quartz",14808-60-7
Sodium chloride,7647-14-5
Listed Below,Listed Below
"Thiourea,polymer with formaldehyde and 1-phenylethanone",Proprietary
propan-2-ol,67-63-0
Listed Below,Listed Below
Water,7732-18-5
"Quarternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides",68424-85-1
"Tetrahydro-3,5-Dimethyl-2H-1,3,5-thiadiazine-2-thione",533-74-4
isopropanol,67-63-0
Ethanol,64-17-5
Acrylamide acrylate copolymer,Proprietary
Water,7732-18-5
Water,7732-18-5
Magnesium Hydroxide,001309-42-8
 ,Listed Below
MSDS and Non-MSDS Ingredients Listed Below,Listed Below
